sale_id,sale_type,product,customer_name,customer_email,customer_country,quantity,unit_price,discount,store_location,sale_date
1,ON-LINE,IPAD,Megan Carter,megan.carter83@outlook.com,USA,1,700,0.00,USA,06/21/2025
2,ON-LINE,IPAD,Kevin Johnson,kevin.johnson34@yahoo.com,USA,1,700,0.00,USA,11/08/2025
3,ON-LINE,COMPUTER,Rebecca White,rebecca.white18@proton.me,USA,1,1400,0.00,USA,11/23/2025
4,IN-STORE,WATCH,Jack Gonzalez,jack.gonzalez6@yahoo.com,GERMANY,2,250,60.00,USA,11/13/2025
5,ON-LINE,IPHONE,Ryan Jackson,ryan.jackson94@proton.me,CANADA,3,1100,396.00,CANADA,08/01/2025
6,IN-STORE,COMPUTER,Megan Wilson,megan.wilson17@outlook.com,CANADA,3,1400,210.00,ENGLAND,10/24/2025
7,IN-STORE,IPHONE,Jason Perez,jason.perez28@outlook.com,USA,1,1100,88.00,USA,01/11/2025
8,ON-LINE,IPAD,Jeffrey Parker,jeffrey.parker39@proton.me,MEXICO,2,700,0.00,ENGLAND,12/18/2025
9,ON-LINE,WATCH,George Stewart,george.stewart40@yahoo.com,ENGLAND,1,250,0.00,CANADA,04/15/2025
10,IN-STORE,COMPUTER,Bruce Taylor,bruce.taylor94@icloud.com,FRANCE,1,1400,112.00,USA,12/09/2025
11,IN-STORE,IPAD,Grace Jackson,grace.jackson80@outlook.com,FRANCE,1,700,21.00,USA,10/31/2025
12,ON-LINE,IPHONE,Timothy Robinson,timothy.robinson7@gmail.com,FRANCE,2,1100,220.00,CANADA,12/07/2025
13,IN-STORE,IPHONE,Ashley Moore,ashley.moore90@gmail.com,USA,1,1100,88.00,USA,12/15/2025
14,IN-STORE,IPAD,William Morris,william.morris43@gmail.com,USA,2,700,0.00,CANADA,03/27/2025
15,ON-LINE,COMPUTER,Anna Martinez,anna.martinez28@gmail.com,USA,3,1400,126.00,CANADA,12/13/2025
16,IN-STORE,IPHONE,James Hill,james.hill3@gmail.com,CHINA,2,1100,66.00,CANADA,03/25/2025
17,ON-LINE,IPHONE,Anna Taylor,anna.taylor7@gmail.com,ENGLAND,2,1100,66.00,CANADA,02/18/2025
18,ON-LINE,COMPUTER,Mark Baker,mark.baker99@gmail.com,CHINA,1,1400,42.00,ENGLAND,11/04/2025
19,ON-LINE,COMPUTER,Henry Thomas,henry.thomas63@yahoo.com,USA,1,1400,210.00,USA,04/17/2025
20,ON-LINE,COMPUTER,Melissa Wilson,melissa.wilson86@gmail.com,ITALY,1,1400,70.00,USA,08/24/2025
21,IN-STORE,COMPUTER,Kevin Moore,kevin.moore99@outlook.com,FRANCE,3,1400,210.00,USA,09/25/2025
22,IN-STORE,IPHONE,Barbara Cook,barbara.cook31@yahoo.com,GERMANY,1,1100,33.00,ENGLAND,05/07/2025
23,IN-STORE,COMPUTER,Susan Garcia,susan.garcia46@outlook.com,CHINA,1,1400,168.00,ENGLAND,10/17/2025
24,ON-LINE,TV,Emily Robinson,emily.robinson47@yahoo.com,ITALY,1,900,72.00,CANADA,11/21/2025
25,IN-STORE,WATCH,Grace Martinez,grace.martinez78@yahoo.com,USA,2,250,25.00,USA,06/22/2025
26,ON-LINE,WATCH,Margaret Anderson,margaret.anderson4@proton.me,CANADA,2,250,25.00,CANADA,07/23/2025
27,IN-STORE,COMPUTER,Kenneth Thomas,kenneth.thomas17@outlook.com,USA,2,1400,224.00,USA,11/25/2025
28,ON-LINE,COMPUTER,Linda Thomas,linda.thomas11@gmail.com,FRANCE,1,1400,0.00,CANADA,11/20/2025
29,IN-STORE,TV,Amanda Wilson,amanda.wilson34@proton.me,ITALY,1,900,0.00,USA,01/18/2025
30,IN-STORE,TV,Robert Parker,robert.parker71@yahoo.com,CHINA,1,900,45.00,ENGLAND,11/25/2025
31,ON-LINE,IPAD,Margaret Adams,margaret.adams83@icloud.com,CANADA,1,700,0.00,USA,05/02/2025
32,IN-STORE,IPAD,Walter Rodriguez,walter.rodriguez74@proton.me,GERMANY,1,700,0.00,USA,10/22/2025
33,ON-LINE,TV,Linda Sanchez,linda.sanchez14@yahoo.com,GERMANY,1,900,27.00,ENGLAND,03/25/2025
34,ON-LINE,IPHONE,Christopher Phillips,christopher.phillips77@gmail.com,ITALY,2,1100,220.00,USA,12/10/2025
35,IN-STORE,EBIKE,Joshua Parker,joshua.parker78@yahoo.com,ITALY,1,2200,0.00,CANADA,11/25/2025
36,ON-LINE,COMPUTER,Steven Williams,steven.williams1@proton.me,GERMANY,1,1400,42.00,USA,02/01/2025
37,ON-LINE,IPHONE,Amy Thomas,amy.thomas53@yahoo.com,GERMANY,1,1100,55.00,USA,06/28/2025
38,ON-LINE,IPHONE,Susan Stewart,susan.stewart15@gmail.com,USA,2,1100,0.00,CANADA,11/30/2025
39,IN-STORE,TV,George Ramirez,george.ramirez86@outlook.com,USA,1,900,0.00,USA,04/02/2025
40,ON-LINE,COMPUTER,Joseph Jackson,joseph.jackson59@gmail.com,CANADA,1,1400,42.00,USA,03/23/2025
41,IN-STORE,WATCH,Betty Rivera,betty.rivera70@icloud.com,ITALY,3,250,22.50,USA,10/29/2025
42,IN-STORE,COMPUTER,Ryan Lee,ryan.lee10@gmail.com,ENGLAND,1,1400,70.00,ENGLAND,11/19/2025
43,ON-LINE,TV,Kimberly Allen,kimberly.allen65@gmail.com,GERMANY,2,900,90.00,CANADA,11/06/2025
44,ON-LINE,IPHONE,Jason Parker,jason.parker1@outlook.com,USA,1,1100,165.00,CANADA,11/16/2025
45,IN-STORE,WATCH,Barbara Nguyen,barbara.nguyen4@gmail.com,CANADA,2,250,40.00,USA,04/14/2025
46,ON-LINE,COMPUTER,Sarah Mitchell,sarah.mitchell95@proton.me,USA,2,1400,0.00,CANADA,09/11/2025
47,ON-LINE,TV,Megan Davis,megan.davis49@gmail.com,ENGLAND,3,900,135.00,ENGLAND,01/28/2025
48,IN-STORE,WATCH,Donna Garcia,donna.garcia13@icloud.com,FRANCE,2,250,0.00,CANADA,11/25/2025
49,IN-STORE,COMPUTER,Deborah Thompson,deborah.thompson35@gmail.com,USA,1,1400,210.00,ENGLAND,09/01/2025
50,IN-STORE,IPHONE,Paul Jones,paul.jones73@outlook.com,USA,1,1100,0.00,CANADA,10/03/2025
51,IN-STORE,IPAD,James Jones,james.jones8@yahoo.com,GERMANY,3,700,168.00,CANADA,04/30/2025
52,IN-STORE,IPHONE,Henry Davis,henry.davis74@yahoo.com,CANADA,2,1100,0.00,ENGLAND,06/18/2025
53,ON-LINE,COMPUTER,Sharon Rodriguez,sharon.rodriguez47@gmail.com,USA,2,1400,280.00,USA,02/25/2025
54,ON-LINE,WATCH,Sandra Anderson,sandra.anderson25@icloud.com,USA,3,250,75.00,ENGLAND,06/10/2025
55,ON-LINE,IPHONE,Christopher Brown,christopher.brown11@yahoo.com,ENGLAND,3,1100,165.00,USA,09/11/2025
56,ON-LINE,IPHONE,Jessica Stewart,jessica.stewart75@proton.me,MEXICO,1,1100,33.00,USA,11/19/2025
57,IN-STORE,IPAD,Brian Campbell,brian.campbell56@proton.me,GERMANY,1,700,21.00,USA,12/13/2025
58,ON-LINE,IPHONE,Megan Baker,megan.baker95@yahoo.com,GERMANY,4,1100,660.00,USA,01/17/2025
59,IN-STORE,COMPUTER,William Hill,william.hill31@icloud.com,USA,2,1400,224.00,USA,12/01/2025
60,ON-LINE,WATCH,Karen White,karen.white70@proton.me,GERMANY,1,250,12.50,USA,12/11/2025
61,IN-STORE,WATCH,Sandra Turner,sandra.turner41@icloud.com,USA,2,250,15.00,CANADA,10/31/2025
62,ON-LINE,IPHONE,Mark Lewis,mark.lewis1@yahoo.com,MEXICO,3,1100,264.00,USA,02/21/2025
63,IN-STORE,COMPUTER,John Nguyen,john.nguyen76@yahoo.com,MEXICO,1,1400,140.00,ENGLAND,11/23/2025
64,ON-LINE,WATCH,Charles Taylor,charles.taylor96@proton.me,USA,5,250,37.50,USA,11/10/2025
65,IN-STORE,WATCH,Linda Brown,linda.brown65@proton.me,MEXICO,2,250,0.00,CANADA,05/06/2025
66,ON-LINE,IPAD,Janet King,janet.king34@yahoo.com,CHINA,1,700,35.00,ENGLAND,04/15/2025
67,ON-LINE,WATCH,Steven Scott,steven.scott2@gmail.com,FRANCE,5,250,0.00,USA,06/18/2025
68,IN-STORE,WATCH,Ryan Flores,ryan.flores13@gmail.com,ENGLAND,3,250,37.50,CANADA,08/09/2025
69,ON-LINE,COMPUTER,Nancy Harris,nancy.harris50@outlook.com,USA,3,1400,210.00,USA,08/12/2025
70,IN-STORE,EBIKE,Hannah Mitchell,hannah.mitchell96@outlook.com,MEXICO,3,2200,660.00,CANADA,06/19/2025
71,ON-LINE,IPAD,Betty Turner,betty.turner45@outlook.com,ENGLAND,3,700,0.00,CANADA,11/29/2025
72,ON-LINE,IPAD,Timothy Young,timothy.young52@gmail.com,CANADA,1,700,56.00,CANADA,11/22/2025
73,ON-LINE,IPAD,Stephanie Harris,stephanie.harris60@proton.me,MEXICO,1,700,21.00,USA,11/02/2025
74,ON-LINE,WATCH,Anna Turner,anna.turner98@proton.me,USA,4,250,30.00,USA,06/24/2025
75,ON-LINE,COMPUTER,Elizabeth Stewart,elizabeth.stewart20@proton.me,ITALY,3,1400,420.00,USA,09/09/2025
76,ON-LINE,COMPUTER,Joseph Johnson,joseph.johnson32@yahoo.com,GERMANY,1,1400,140.00,ENGLAND,11/11/2025
77,IN-STORE,WATCH,Timothy Johnson,timothy.johnson43@icloud.com,USA,4,250,150.00,USA,11/22/2025
78,ON-LINE,EBIKE,Edward Edwards,edward.edwards61@yahoo.com,USA,1,2200,0.00,CANADA,01/18/2025
79,ON-LINE,COMPUTER,Hannah Taylor,hannah.taylor77@icloud.com,USA,1,1400,0.00,USA,11/12/2025
80,IN-STORE,COMPUTER,Arthur Smith,arthur.smith71@outlook.com,ITALY,3,1400,336.00,CANADA,12/08/2025
81,ON-LINE,IPHONE,Thomas Green,thomas.green21@icloud.com,ENGLAND,2,1100,264.00,CANADA,03/02/2025
82,ON-LINE,COMPUTER,Megan Taylor,megan.taylor55@proton.me,GERMANY,1,1400,42.00,ENGLAND,04/15/2025
83,ON-LINE,EBIKE,Richard Miller,richard.miller46@icloud.com,ITALY,1,2200,66.00,CANADA,11/29/2025
84,ON-LINE,TV,Grace Miller,grace.miller70@gmail.com,USA,1,900,0.00,ENGLAND,01/12/2025
85,IN-STORE,WATCH,Scott Garcia,scott.garcia15@yahoo.com,GERMANY,2,250,75.00,ENGLAND,07/29/2025
