sale_id,sale_type,sales_channel,product_name,product_category,product_brand,customer_name,customer_email,customer_country,customer_city,customer_gender,customer_segment,quantity,unit_price,cost_price,discount,store_location,store_region,store_manager,sale_date,order_timestamp,delivery_date,order_status
1,IN-STORE,STORE,IPAD,TABLET,Apple,Claire Moreau,claire.moreau41@outlook.com,FRANCE,Paris,FEMALE,REGULAR,1,1014.0,778.06,0.0,CHINA,EAST,Li Chen,07/07/2016,2016-07-07 10:44:47,2016-07-09,COMPLETED
2,ON-LINE,WEB,COMPUTER,COMPUTERS,HP,Hans Martin,hans.martin76@yahoo.com,CANADA,Vancouver,FEMALE,STUDENT,1,965.0,727.44,0.0,ENGLAND,NORTH,Grace Turner,04/19/2017,2017-04-19 17:35:36,2017-04-24,COMPLETED
3,IN-STORE,STORE,IPAD,TABLET,Apple,George Taylor,george.taylor81@icloud.com,CHINA,Shenzhen,FEMALE,REGULAR,1,402.0,275.57,0.0,USA,WEST,Jay Smith,2015-06-03,2015-06-03 19:58:41,2015-06-10,COMPLETED
4,IN-STORE,STORE,COMPUTER,COMPUTERS,HP,William Miller,william.miller2@icloud.com,INDIA,Mumbai,OTHER,REGULAR,2,949.0,693.37,0.0,CANADA,WEST,Noah Bennett,2015-07-11,2015-07-11 20:51:17,2015-07-15,COMPLETED
5,ON-LINE,WEB,MACBOOK,COMPUTERS,Apple,Scarlett Sanchez,scarlett.sanchez46@gmail.com,CHINA,Shenzhen,MALE,REGULAR,1,2082.0,1627.93,104.1,CANADA,CENTRAL,Noah Bennett,08/17/2015,2015-08-17 15:46:59,2015-08-23,COMPLETED
6,IN-STORE,STORE,COMPUTER,COMPUTERS,Lenovo,Oliver Wang,oliver.wang81@outlook.com,CANADA,Toronto,FEMALE,REGULAR,2,822.0,645.34,0.0,CHINA,SOUTH,Li Chen,12/12/2015,2015-12-12 13:45:17,2015-12-19,COMPLETED
7,ON-LINE,WEB,HELMET,ACCESSORY,Specialized,Matthew Phillips,matthew.phillips68@proton.me,GERMANY,Berlin,MALE,REGULAR,5,132.0,103.73,66.0,USA,WEST,Jay Smith,2016-09-28,2016-09-28 16:40:52,2016-09-29,COMPLETED
8,ON-LINE,WEB,HELMET,ACCESSORY,Bell,Alexander Anderson,alexander.anderson12@icloud.com,GERMANY,Berlin,MALE,REGULAR,4,94.0,68.18,0.0,USA,EAST,Jay Smith,2017-09-22,2017-09-22 16:14:06,2017-09-26,COMPLETED
9,IN-STORE,STORE,HEADPHONES,AUDIO,Bose,Harper Phillips,harper.phillips65@outlook.com,CANADA,Vancouver,MALE,REGULAR,3,193.0,137.08,0.0,CHINA,SOUTH,Li Chen,04/01/2017,2017-04-01 18:43:09,2017-04-04,COMPLETED
10,IN-STORE,STORE,IPAD,TABLET,Apple,Logan Phillips,logan.phillips84@outlook.com,GERMANY,Munich,OTHER,PREMIUM,1,1041.0,646.01,0.0,CHINA,SOUTH,Li Chen,04/03/2017,2017-04-03 21:18:41,2017-04-09,COMPLETED
11,IN-STORE,STORE,TV,ELECTRONICS,LG,Logan Wang,logan.wang4@gmail.com,GERMANY,Berlin,FEMALE,REGULAR,1,1740.0,1368.5,0.0,CANADA,WEST,Noah Bennett,12/21/2017,2017-12-21 08:17:07,2017-12-25,COMPLETED
12,IN-STORE,STORE,IPAD,TABLET,Apple,Liam Robinson,liam.robinson28@icloud.com,INDIA,Delhi,FEMALE,REGULAR,1,446.0,290.45,0.0,USA,WEST,Linda Parker,2017-08-01,2017-08-01 18:46:13,2017-08-08,COMPLETED
13,IN-STORE,STORE,BIKE,MOBILITY,Trek,Sara Sharma,sara.sharma17@gmail.com,CHINA,Shanghai,FEMALE,REGULAR,1,468.0,367.02,70.2,CANADA,WEST,Noah Bennett,2015-03-02,2015-03-02 19:38:45,2015-03-04,COMPLETED
